read_2_no00	drug_name	read_2_2	status
d712.	Amitriptyline Hydrochloride Tablets 25mg	d7	y
d712.	AMITRIPTYLINE HYDROCHLORIDE tablets 25mg -	d7	y
d712.	AMITRIPTYLINE HYDROCHLORIDE tabs 25 MG	d7	y
d712.	AMITRIPTYLINE HYDROCHLORIDE TABS 25MG	d7	y
d712.	AMITRIPTYLINE HYDROCHLORIDE tabs 25mg	d7	y
d712.	AMITRIPTYLINE TAB 25	d7	y
d712.	AMITRIPTYLINE TAB 25mg	d7	y
d712.	Amitriptyline tablets 25mg	d7	y
d712.	AMITRIPTYLINE tabs 25 mg	d7	y
d712.	AMITRIPTYLINE TABS 25 MG	d7	y
d712.	Tabs Amitriptyline 25mg	d7	y
d713.	*TRYPTIZOL 50mg tablets	d7	y
d713.	Amitriptyline 50mg tablets	d7	y
d713.	AMITRIPTYLINE 50mg tablets	d7	y
d713.	AMITRIPTYLINE 50mg tabs	d7	y
d713.	AMITRIPTYLINE HCl tabs 50mg	d7	y
d713.	Amitriptyline Hydrochloride  Tablets  50 mg	d7	y
d713.	Amitriptyline Hydrochloride Tablets 50 mg	d7	y
d713.	AMITRIPTYLINE HYDROCHLORIDE tablets 50mg	d7	y
d713.	AMITRIPTYLINE HYDROCHLORIDE TABS 50MG	d7	y
d713.	AMITRIPTYLINE TAB 50	d7	y
d713.	AMITRIPTYLINE TAB 50mg	d7	y
d714.	Domical 10mg Tablet (Berk Pharmaceuticals Ltd)	d7	y
d714.	DOMICAL TAB 10mg	d7	y
d714.	DOMICAL tabs 10mg	d7	y
d715.	DOMICAL TAB 25mg	d7	y
d719.	LENTIZOL 25mg caps s/r	d7	y
d719.	LENTIZOL CAP 25mg	d7	y
d719.	LENTIZOL caps 25mg	d7	y
d71a.	LENTIZOL 50mg caps s/r	d7	y
d71a.	LENTIZOL caps 50 MG	d7	y
d71a.	LENTIZOL CAPS 50MG	d7	y
d71c.	TRYPTIZOL TAB 10mg	d7	y
d71c.	TRYPTIZOL TABLETS 10 MG	d7	y
d71d.	Tryptizol 25mg Tablet (Merck Sharp & Dohme Ltd)	d7	y
d71d.	TRYPTIZOL 25mg tabs	d7	y
d71d.	TRYPTIZOL TAB 25	d7	y
d71d.	TRYPTIZOL TAB 25mg	d7	y
d71d.	Tryptizol Tablets 25 mg	d7	y
d71e.	TRYPTIZOL TAB 50	d7	y
d71e.	TRYPTIZOL TAB 50mg	d7	y
d71f.	TRYPTIZOL SYR 10mg	d7	y
d71h.	Amitriptyline 25mg/5ml oral solution sugar free	d7	y
d71h.	AMITRIPTYLINE HCl sf oral soln 25mg/5ml	d7	y
d71u.	Amitriptyline 25mg modified-release capsules	d7	y
d71u.	AMITRIPTYLINE caps s/r 25 mg	d7	y
d71u.	AMITRIPTYLINE caps s/r 75 mg - DELETED 4/96	d7	y
d71u.	AMITRIPTYLINE HCl mr cap 25mg	d7	y
d71u.	AMITRIPTYLINE HYDROC CAP 25	d7	y
d71u.	AMITRIPTYLINE HYDROCHLORIDE modified release ca	d7	y
d71u.	AMITRIPTYLINE HYDROCHLORIDE S/R CAP 25mg	d7	y
d71u.	amitriptyline hydrochloride tablets 10 mg	d7	y
d71v.	Amitriptyline 50mg modified-release capsules	d7	y
d71v.	AMITRIPTYLINE HCl mr cap 50mg	d7	y
d71w.	AMITRIPTYLINE HYDROCHLORIDE S/R CAP 75mg	d7	y
d71y.	AMITRIPTYLINE HCl mix 10mg/5ml	d7	y
d71y.	AMITRIPTYLINE HCl sf mix 10mg/5ml	d7	y
d71y.	AMITRIPTYLINE HCl sf oral soln 10mg/5ml	d7	y
d71y.	AMITRIPTYLINE HYDROCHLORIDE MIX 10mg	d7	y
d731.	Anafranil 10mg capsules (Novartis Pharmaceuticals UK Ltd)	d7	n
d731.	ANAFRANIL CAP 10	d7	n
d731.	ANAFRANIL CAP 10mg	d7	n
d731.	ANAFRANIL caps 10mg	d7	n
d731.	ANAFRANIL CAPSULES 10 MG	d7	n
d732.	Anafranil 25mg capsules (Novartis Pharmaceuticals UK Ltd)	d7	n
d732.	ANAFRANIL CAP 25	d7	n
d732.	ANAFRANIL CAP 25mg	d7	n
d732.	ANAFRANIL caps 25mg	d7	n
d732.	Anafranil Capsules 25mg	d7	n
d733.	Anafranil 50mg capsules (Novartis Pharmaceuticals UK Ltd)	d7	n
d733.	ANAFRANIL CAP 50mg	d7	n
d733.	ANAFRANIL caps 50mg	d7	n
d73t.	Clomipramine 25mg capsules	d7	n
d73u.	Clomipramine 10mg capsules	d7	n
d73u.	CLOMIPRAMINE caps 10mg	d7	n
d73u.	CLOMIPRAMINE capsules 10mg	d7	n
d73u.	CLOMIPRAMINE HYDROCH CAP 10	d7	n
d73u.	CLOMIPRAMINE HYDROCHLORIDE CAP 10mg	d7	n
d73u.	CLOMIPRAMINE HYDROCHLORIDE CAPS 10 MG	d7	n
d73u.	Clomipramine Hydrochloride Capsules 10 mg	d7	n
d73v.	Clomipramine 25mg capsules	d7	n
d73v.	CLOMIPRAMINE caps 25mg	d7	n
d73v.	CLOMIPRAMINE capsules 25mg	d7	n
d73v.	CLOMIPRAMINE HYDROCH CAP 25	d7	n
d73v.	CLOMIPRAMINE HYDROCHLORIDE CAP 25mg	d7	n
d73v.	Clomipramine Hydrochloride Capsules 25 mg	d7	n
d73w.	Clomipramine 50mg capsules	d7	n
d73w.	CLOMIPRAMINE caps 50mg	d7	n
d73w.	CLOMIPRAMINE HCL 50mg capsules	d7	n
d73w.	CLOMIPRAMINE HYDROCH CAP 50	d7	n
d73w.	CLOMIPRAMINE HYDROCHLORIDE CAP 50mg	d7	n
d73w.	CLOMIPRAMINE HYDROCHLORIDE CAPS 50 MG	d7	n
d73w.	Clomipramine Hydrochloride Capsules 50 mg	d7	n
d73z.	Clomipramine 75mg modified-release tablets	d7	n
d73z.	Clomipramine Hydrochloride M/R Tablets 75 mg	d7	n
d73z.	CLOMIPRAMINE HYDROCHLORIDE TAB 75mg	d7	n
d73z.	CLOMIPRAMINE mr tab 75mg	d7	n
d751.	*PROTHIADEN, CAP, 25.00mg	d7	n
d751.	PROTHIADEN 25mg caps	d7	n
d751.	Prothiaden 25mg capsules (Teofarma)	d7	n
d751.	PROTHIADEN CAP 25	d7	n
d751.	PROTHIADEN CAP 25mg	d7	n
d751.	PROTHIADEN caps 25mg	d7	n
d751.	PROTHIADEN CAPS 25MG	d7	n
d751.	Prothiaden Capsules 25 mg	d7	n
d751.	PROTHIADEN CAPSULES 25 MG	d7	n
d751.	PROTHIADEN capsules 25mg	d7	n
d752.	PROTHIADEN 75MG	d7	n
d752.	Prothiaden 75mg tablets (Teofarma)	d7	n
d752.	PROTHIADEN 75mg tabs	d7	n
d752.	PROTHIADEN TAB 75	d7	n
d752.	PROTHIADEN TAB 75mg	d7	n
d752.	PROTHIADEN TABLETS 75 MG	d7	n
d752.	Prothiaden Tablets 75 mg	d7	n
d752.	PROTHIADEN tablets 75mg	d7	n
d752.	Prothiaden tablets 75mg	d7	n
d752.	PROTHIADEN tabs 75 MG	d7	n
d752.	PROTHIADEN tabs 75mg	d7	n
d755.	DOTHAPAX CAP 25	d7	n
d756.	Dothapax 75 tablets (Ashbourne Pharmaceuticals Ltd)	d7	n
d756.	DOTHAPAX tabs 75mg	d7	n
d75y.	Dosulepin  Capsules  25 mg	d7	n
d75y.	Dosulepin 25mg capsules	d7	n
d75y.	DOSULEPIN caps 25mg	d7	n
d75y.	Dosulepin Capsules 25 mg	d7	n
d75y.	Dosulepin capsules 25mg	d7	n
d75y.	dosulepin capsules 25mg	d7	n
d75y.	DOSULEPIN capsules 25mg	d7	n
d75y.	DOTHIEPIN 25MG CAPS	d7	n
d75y.	DOTHIEPIN caps 25 mg	d7	n
d75y.	DOTHIEPIN caps 25 MG	d7	n
d75y.	DOTHIEPIN caps 25mg	d7	n
d75y.	DOTHIEPIN CAPS 25MG	d7	n
d75y.	DOTHIEPIN CAPSULES 25 MG	d7	n
d75y.	Dothiepin Capsules 25 mg	d7	n
d75y.	DOTHIEPIN capsules 25mg	d7	n
d75y.	dothiepin capsules 25mg	d7	n
d75y.	Dothiepin capsules 25mg	d7	n
d75y.	DOTHIEPIN HCL 25mg caps	d7	n
d75y.	DOTHIEPIN HCL 25mg capsules	d7	n
d75y.	DOTHIEPIN HCL CAP 25MG	d7	n
d75y.	DOTHIEPIN HYDROCHLOR CAP 25	d7	n
d75y.	DOTHIEPIN HYDROCHLORIDE 25mg capsules	d7	n
d75y.	DOTHIEPIN HYDROCHLORIDE CAP 25	d7	n
d75y.	DOTHIEPIN HYDROCHLORIDE CAP 25mg	d7	n
d75y.	Dothiepin Hydrochloride Capsules 25 mg	d7	n
d75z.	Dosulepin 75mg tablets	d7	n
d75z.	Dosulepin Tablets 75 mg	d7	n
d75z.	DOSULEPIN tablets 75mg	d7	n
d75z.	DOSULEPIN tabs 75mg	d7	n
d75z.	DOTHIEPIN 75mg	d7	n
d75z.	DOTHIEPIN 75MG	d7	n
d75z.	DOTHIEPIN HCL 75mg tablets	d7	n
d75z.	DOTHIEPIN HCL 75mg tabs	d7	n
d75z.	DOTHIEPIN HCL CAP 75MG	d7	n
d75z.	DOTHIEPIN HCL TAB 75MG	d7	n
d75z.	DOTHIEPIN HYDROCHLOR TAB 75	d7	n
d75z.	Dothiepin Hydrochloride  Tablets  75 mg	d7	n
d75z.	Dothiepin hydrochloride 75 mg tablets	d7	n
d75z.	DOTHIEPIN HYDROCHLORIDE 75mg tablets	d7	n
d75z.	DOTHIEPIN HYDROCHLORIDE TAB 75	d7	n
d75z.	DOTHIEPIN HYDROCHLORIDE TAB 75mg	d7	n
d75z.	Dothiepin Hydrochloride Tablets 75 mg	d7	n
d75z.	Dothiepin Hydrochloride Tablets 75mg	d7	n
d75z.	DOTHIEPIN TABLETS 75 MG	d7	n
d75z.	Dothiepin Tablets 75 mg	d7	n
d75z.	DOTHIEPIN tablets 75mg	d7	n
d75z.	dothiepin tablets 75mg	d7	n
d75z.	Dothiepin Tablets 75mg	d7	n
d75z.	Dothiepin tablets 75mg	d7	n
d75z.	DOTHIEPIN tabs 75 mg	d7	n
d75z.	DOTHIEPIN TABS 75 MG	d7	n
d75z.	DOTHIEPIN tabs 75mg	d7	n
d75z.	DOTHIEPIN TABS 75MG	d7	n
d761.	Sinequan 10mg capsules (Pfizer Ltd)	d7	n
d761.	SINEQUAN caps 10mg	d7	n
d762.	Sinequan 25mg capsules (Pfizer Ltd)	d7	n
d762.	SINEQUAN CAP 25mg	d7	n
d762.	SINEQUAN caps 25mg	d7	n
d763.	SINEQUAN CAP 50	d7	n
d76w.	DOXEPIN 10mg capsules	d7	n
d76w.	Doxepin 10mg capsules	d7	n
d76w.	DOXEPIN caps 10mg	d7	n
d76w.	DOXEPIN CAPS 10MG	d7	n
d76w.	doxepin capsules 10mg	d7	n
d76w.	DOXEPIN capsules 10mg	d7	n
d76x.	Doxepin 25mg capsules	d7	n
d76x.	DOXEPIN caps 25mg	d7	n
d76x.	Doxepin Capsules 25 mg	d7	n
d76y.	DOXEPIN caps 50mg	d7	n
d76z.	Doxepin 75mg capsules	d7	n
d76z.	DOXEPIN caps 75mg	d7	n
d771.	Imipramine 10mg tablets	d7	n
d771.	Imipramine Hydrochloride  Tablets  10 mg	d7	n
d771.	IMIPRAMINE tabs 10mg	d7	n
d772.	Imipramine 25mg tablets	d7	n
d772.	IMIPRAMINE 25mg tablets	d7	n
d772.	IMIPRAMINE TAB 25	d7	n
d772.	IMIPRAMINE TAB 25mg	d7	n
d772.	Imipramine tablets 25mg	d7	n
d772.	imipramine tablets 25mg	d7	n
d772.	IMIPRAMINE tabs 25 mg	d7	n
d772.	IMIPRAMINE tabs 25mg	d7	n
d772.	IMIPRAMINE TABS 25MG	d7	n
d791.	GAMANIL TAB 70	d7	n
d794.	Gamanil  Tablets  70 mg	d7	n
d794.	Gamanil 70mg tablets (Merck Serono Ltd)	d7	n
d794.	GAMANIL CALENDER PACK TAB 70mg	d7	n
d794.	GAMANIL TAB 70	d7	n
d794.	GAMANIL TAB 70mg	d7	n
d79y.	LOFEPRAMINE sf susp 70mg/5ml	d7	n
d79z.	Lofepramine  Tablets  70 mg	d7	n
d79z.	LOFEPRAMINE 70MG	d7	n
d79z.	Lofepramine 70mg tablets	d7	n
d79z.	LOFEPRAMINE 70mg tabs	d7	n
d79z.	LOFEPRAMINE HCL TAB 70MG	d7	n
d79z.	LOFEPRAMINE TAB 70	d7	n
d79z.	LOFEPRAMINE TAB 70mg	d7	n
d79z.	Lofepramine Tablets 70 mg	d7	n
d79z.	LOFEPRAMINE TABLETS 70 MG	d7	n
d79z.	LOFEPRAMINE tablets 70mg	d7	n
d79z.	lofepramine tablets 70mg	d7	n
d79z.	Lofepramine tablets 70mg	d7	n
d79z.	LOFEPRAMINE tabs 70 MG	d7	n
d79z.	LOFEPRAMINE TABS 70 MG	d7	n
d79z.	LOFEPRAMINE tabs 70 mg	d7	n
d79z.	LOFEPRAMINE tabs 70mg	d7	n
d79z.	LOFEPRAMINE TABS 70MG	d7	n
d7a4.	LUDIOMIL 75mg tabs	d7	n
d7b1.	MIANSERIN HYDROCHLORIDE TAB 10mg	d7	n
d7b1.	Mianserin Hydrochloride Tablets 10 mg	d7	n
d7b2.	Mianserin 20mg tablets	d7	n
d7b2.	MIANSERIN HYDROCHLORIDE TAB 20mg	d7	n
d7b2.	MIANSERIN tabs 20mg	d7	n
d7b3.	Mianserin 30mg tablets	d7	n
d7b3.	MIANSERIN HYDROCHLORIDE TAB 30mg	d7	n
d7b4.	BOLVIDON TAB 10mg	d7	n
d7b6.	Bolvidon 30mg Tablet (Organon Laboratories Ltd)	d7	n
d7b6.	BOLVIDON TAB 30mg	d7	n
d7b8.	NORVAL TAB 20mg	d7	n
d7c1.	ALLEGRON TAB 10	d7	y
d7c1.	ALLEGRON TAB 10mg	d7	y
d7c2.	ALLEGRON TAB 25mg	d7	y
d7c6.	Nortriptyline  Tablets  10 mg	d7	y
d7c6.	Nortriptyline 10mg tablets	d7	y
d7c6.	NORTRIPTYLINE TAB 10	d7	y
d7c6.	NORTRIPTYLINE TAB 10mg	d7	y
d7c6.	Nortriptyline Tablets 10 mg	d7	y
d7c6.	NORTRIPTYLINE tablets 10mg	d7	y
d7c6.	NORTRIPTYLINE tabs 10mg	d7	y
d7c8.	Nortriptyline 25mg tablets	d7	y
d7c8.	NORTRIPTYLINE tablets 25mg	d7	y
d7c8.	NORTRIPTYLINE tabs 25mg	d7	y
d7cy.	NORTRIPTYLINE CAP 25mg	d7	y
d7e1.	Molipaxin  Capsules  50 mg	d7	n
d7e1.	MOLIPAXIN CAP 50mg	d7	n
d7e4.	MOLIPAXIN TAB 150mg	d7	n
d7e5.	Trazodone 150mg tablets	d7	n
d7e5.	TRAZODONE HYDROCHLOR TAB 150	d7	n
d7e5.	TRAZODONE HYDROCHLORIDE 150mg tablets	d7	n
d7e5.	TRAZODONE HYDROCHLORIDE TAB 150mg	d7	n
d7e5.	TRAZODONE tabs 150mg	d7	n
d7e5.	TRAZODONE TABS 150MG	d7	n
d7e7.	Trazodone 150mg modified-release tablets	d7	n
d7e7.	TRAZODONE cr tab 150mg	d7	n
d7ew.	Trazodone 100mg capsules	d7	n
d7ew.	TRAZODONE caps 100mg	d7	n
d7ew.	TRAZODONE HYDROCHLOR CAP 100	d7	n
d7ew.	TRAZODONE HYDROCHLORIDE 100mg capsules	d7	n
d7ew.	TRAZODONE HYDROCHLORIDE CAP 100mg	d7	n
d7ex.	Trazodone 50mg capsules	d7	n
d7ex.	TRAZODONE caps 50mg	d7	n
d7ex.	TRAZODONE CAPS 50MG	d7	n
d7ex.	TRAZODONE capsules 50mg	d7	n
d7ex.	TRAZODONE HYDROCHLOR CAP 50	d7	n
d7ex.	Trazodone Hydrochloride  Capsules  50 mg	d7	n
d7ex.	TRAZODONE HYDROCHLORIDE CAP 50mg	d7	n
d7ex.	Trazodone Hydrochloride Capsules 50 mg	d7	n
d7ez.	Trazodone 50mg/5ml oral solution sugar free	d7	n
d7f1.	SURMONTIL 50mg caps	d7	n
d7f1.	Surmontil 50mg capsules (Sanofi)	d7	n
d7f1.	SURMONTIL CAP 50mg	d7	n
d7f1.	SURMONTIL caps 50 MG	d7	n
d7f1.	SURMONTIL caps 50mg	d7	n
d7f2.	Surmontil 10mg tablets (Sanofi)	d7	n
d7f2.	SURMONTIL TAB 10	d7	n
d7f2.	SURMONTIL TAB 10mg	d7	n
d7f2.	SURMONTIL TABLETS 10 MG	d7	n
d7f2.	SURMONTIL tablets 10mg	d7	n
d7f3.	Surmontil 25mg tablets (Sanofi)	d7	n
d7f3.	SURMONTIL 25mg tabs	d7	n
d7f3.	SURMONTIL TAB 25	d7	n
d7f3.	SURMONTIL TAB 25mg	d7	n
d7f3.	SURMONTIL tablets 25mg	d7	n
d7f3.	SURMONTIL tabs 25mg	d7	n
d7fx.	Trimipramine 50mg capsules	d7	n
d7fx.	TRIMIPRAMINE 50mg capsules	d7	n
d7fx.	TRIMIPRAMINE CAP 50	d7	n
d7fx.	TRIMIPRAMINE CAP 50mg	d7	n
d7fx.	TRIMIPRAMINE caps 50 mg	d7	n
d7fx.	TRIMIPRAMINE MALEATE caps 50 MG	d7	n
d7fx.	TRIMIPRAMINE MALEATE caps 50mg	d7	n
d7fx.	trimipramine maleate capsules 50mg	d7	n
d7fy.	Trimipramine 10mg tablets	d7	n
d7fy.	Trimipramine maleate tablets 10mg	d7	n
d7fy.	TRIMIPRAMINE MALEATE tabs 10mg	d7	n
d7fy.	TRIMIPRAMINE TAB 10	d7	n
d7fy.	TRIMIPRAMINE TAB 10mg	d7	n
d7fy.	Trimipramine Tablets 10 mg	d7	n
d7fz.	Trimipramine 25mg tablets	d7	n
d7fz.	TRIMIPRAMINE 25mg tablets	d7	n
d7fz.	TRIMIPRAMINE MALEATE tabs 25 MG	d7	n
d7fz.	TRIMIPRAMINE MALEATE tabs 25mg	d7	n
d7fz.	TRIMIPRAMINE TAB 25	d7	n
d7fz.	TRIMIPRAMINE TAB 25mg	d7	n
d7h3.	AMOXAPINE tabs 100mg	d7	n
d7h4.	Amoxapine 150mg tablets	d7	n
d7h4.	AMOXAPINE TAB 150mg	d7	n
d7h8.	ASENDIS TAB 150mg	d7	n
d914.	Motival 10mg/500microgram tablets (Sanofi)	d9	n
d914.	MOTIVAL TAB	d9	n
d914.	MOTIVAL TABLETS	d9	n
d914.	MOTIVAL tabs	d9	n
d915.	PARSTELIN TAB	d9	n
d915.	Parstelin Tablet (GlaxoSmithKline Consumer Healthcare)	d9	n
d916.	TRIPTAFEN	d9	n
d916.	TRIPTAFEN TAB	d9	n
d916.	Triptafen Tablets	d9	n
d916.	Triptafen tablets (AMCo)	d9	n
d916.	TRIPTAFEN tabs 2mg + 25mg	d9	n
d917.	Triptafen m 2mg+10mg Tablet (Goldshield Pharmaceuticals Ltd)	d9	n
d917.	TRIPTAFEN M tabs 2mg + 10mg	d9	n
d917.	TRIPTAFEN-M TAB	d9	n
d917.	Triptafen-M tablets (Mercury Pharma Group Ltd)	d9	n
da11.	Fluanxol 500microgram tablets (Lundbeck Ltd)	da	n
da11.	FLUANXOL TAB 0.5	da	n
da11.	FLUANXOL TAB 0.5mg	da	n
da11.	Fluanxol Tablets 500 micrograms	da	n
da11.	FLUANXOL tabs 0.5mg	da	n
da12.	Fluanxol 1mg tablets (Lundbeck Ltd)	da	n
da12.	FLUANXOL TAB 1	da	n
da12.	FLUANXOL TAB 1mg	da	n
da12.	FLUANXOL TABLETS 1 MG	da	n
da12.	Fluanxol Tablets 1 mg	da	n
da12.	FLUANXOL tabs 1mg	da	n
da1y.	Fluanxol tablets 0.5mg	da	n
da1y.	FLUPENTHIXOL 500microgram tablets	da	n
da1y.	FLUPENTHIXOL TAB 500	da	n
da1y.	FLUPENTHIXOL TAB 500mcg	da	n
da1y.	FLUPENTHIXOL tabs 500 micrograms	da	n
da1y.	Flupentixol 500microgram tablets	da	n
da1y.	flupentixol tablets 500 micrograms	da	n
da1y.	FLUPENTIXOL tabs 500 micrograms	da	n
da1z.	Fluanxol Tablets 1 mg	da	n
da1z.	FLUPENTHIXOL TAB 1mg	da	n
da1z.	FLUPENTHIXOL TABS 1MG	da	n
da1z.	FLUPENTHIXOL tabs 1mg	da	n
da1z.	Flupentixol 1mg tablets	da	n
da1z.	FLUPENTIXOL tabs 1mg	da	n
da2..	Tryptophan 500mg capsules	da	n
da2y.	Tryptophan 500mg tablets	da	n
da2y.	TRYPTOPHAN TAB 500mg	da	n
da2y.	TRYPTOPHAN tabs 500mg	da	n
da31.	Faverin 50mg tablets (BGP Products Ltd)	da	n
da31.	FAVERIN TAB 50	da	n
da31.	FAVERIN TAB 50mg	da	n
da32.	Fluvoxamine 50mg tablets	da	n
da32.	FLUVOXAMINE MALEATE TAB 50	da	n
da32.	FLUVOXAMINE MALEATE TAB 50mg	da	n
da32.	FLUVOXAMINE tabs 50mg	da	n
da32.	FLUVOXAMINE TABS 50MG	da	n
da33.	Faverin 100mg tablets (BGP Products Ltd)	da	n
da33.	FAVERIN TAB 100	da	n
da33.	FAVERIN TAB 100mg	da	n
da33.	FAVERIN tabs 100mg	da	n
da34.	Fluvoxamine 100mg tablets	da	n
da34.	FLUVOXAMINE ENTERIC COATED TABLETS 100 MG	da	n
da34.	FLUVOXAMINE MALEATE TAB 100	da	n
da34.	FLUVOXAMINE MALEATE TAB 100mg	da	n
da34.	FLUVOXAMINE tabs 100 MG	da	n
da34.	FLUVOXAMINE tabs 100mg	da	n
da4..	Fluoxetine 10mg capsules	da	n
da4..	Fluoxetine 10mg tablets	da	n
da4..	Fluoxetine 30mg capsules	da	n
da4..	Fluoxetine 40mg capsules	da	n
da4..	FLUOXETINE tabs 10mg	da	n
da41.	FLUOXETINE 20MG	da	n
da41.	Fluoxetine 20mg capsules	da	n
da41.	FLUOXETINE 20mg capsules	da	n
da41.	FLUOXETINE CAP 20	da	n
da41.	FLUOXETINE CAP 20mg	da	n
da41.	FLUOXETINE CAPS 20 MG	da	n
da41.	FLUOXETINE caps 20 mg	da	n
da41.	FLUOXETINE caps 20 MG	da	n
da41.	FLUOXETINE caps 20mg	da	n
da41.	FLUOXETINE CAPS 20MG	da	n
da41.	FLUOXETINE CAPSULES 20 MG	da	n
da41.	Fluoxetine Capsules 20 mg	da	n
da41.	FLUOXETINE capsules 20mg	da	n
da41.	Fluoxetine capsules 20mg	da	n
da41.	fluoxetine capsules 20mg	da	n
da41.	FLUOXETINE HCL 20mg capsules	da	n
da41.	FLUOXETINE HCL CAP 20MG	da	n
da41.	Fluoxetine Hydrochloride  Capsules  20 mg	da	n
da41.	Fluoxetine Hydrochloride Capsules 20 mg	da	n
da43.	Fluoxetine 20mg/5ml oral solution	da	n
da43.	FLUOXETINE HYDROCHLORIDE LIQ 20	da	n
da43.	Fluoxetine Hydrochloride Liquid 20 mg/5 ml	da	n
da43.	FLUOXETINE liq 20mg/5ml	da	n
da43.	FLUOXETINE oral soln 20mg/5ml	da	n
da43.	FLUOXETINE sf oral soln 20mg/5ml	da	n
da44.	PROZAC LIQ 20	da	n
da45.	Prozac  Capsules  20 mg	da	n
da45.	PROZAC 20mg	da	n
da45.	PROZAC 20MG	da	n
da45.	Prozac 20mg capsules (Eli Lilly and Company Ltd)	da	n
da45.	PROZAC CALENDAR PACK CAP 20	da	n
da45.	PROZAC CALENDAR PACK CAP 20mg	da	n
da45.	PROZAC caps 20 MG	da	n
da45.	PROZAC caps 20mg	da	n
da45.	PROZAC CAPS 20MG	da	n
da45.	Prozac Capsules 20 mg	da	n
da45.	PROZAC CAPSULES 20 MG	da	n
da45.	Prozac capsules 20mg	da	n
da45.	PROZAC capsules 20mg	da	n
da46.	Fluoxetine 60mg capsules	da	n
da46.	FLUOXETINE caps 60mg	da	n
da46.	FLUOXETINE HYDROCHLORIDE CAP 60mg	da	n
da49.	Oxactin 20mg capsules (Discovery Pharmaceuticals Ltd)	da	n
da49.	Oxactin 20mg capsules (Discovery Pharmaceuticals)	da	n
da49.	OXACTIN caps 20mg	da	n
da51.	SERTRALINE	da	n
da51.	SERTRALINE 50MG	da	n
da51.	Sertraline 50mg tablets	da	n
da51.	SERTRALINE 50mg tablets	da	n
da51.	SERTRALINE HCL TAB 50MG	da	n
da51.	Sertraline Hydrochloride  Tablets  50 mg	da	n
da51.	Sertraline Hydrochloride Tablets 50 mg	da	n
da51.	SERTRALINE TAB 50	da	n
da51.	SERTRALINE TAB 50mg	da	n
da51.	SERTRALINE TABLETS 50 MG	da	n
da51.	Sertraline Tablets 50 mg	da	n
da51.	SERTRALINE tablets 50mg	da	n
da51.	Sertraline tablets 50mg	da	n
da51.	sertraline tablets 50mg	da	n
da51.	Sertraline Tablets 50mg	da	n
da51.	SERTRALINE tabs 50 mg	da	n
da51.	SERTRALINE TABS 50 MG	da	n
da51.	SERTRALINE tabs 50mg	da	n
da51.	SERTRALINE TABS 50MG	da	n
da52.	Sertraline 100mg tablets	da	n
da52.	SERTRALINE 100mg tablets	da	n
da52.	SERTRALINE HCL TAB 100MG	da	n
da52.	Sertraline Hydrochloride  Tablets  100 mg	da	n
da52.	Sertraline Hydrochloride Tablets 100 mg	da	n
da52.	SERTRALINE TAB 100	da	n
da52.	SERTRALINE TAB 100mg	da	n
da52.	Sertraline Tablets 100 mg	da	n
da52.	SERTRALINE tablets 100mg	da	n
da52.	Sertraline tablets 100mg	da	n
da52.	SERTRALINE tabs 100mg	da	n
da52.	SERTRALINE TABS 100MG	da	n
