bnf_code	drug_name	bnf_6	status	ptr_approved
0407010B0AAAEAE	ASPIRIN TABLETS  DISPERSIBLE 300MG-P42 0	40701	y	yes_approved
0407010B0AAAFAF	ASPIRIN TABLETS 300MG	40701	y	yes_approved
0407010B0AAAFAF	Aspirin TABS 300MG	40701	y	yes_approved
0407010B0AAA3A3	Aspirin-P42 300mg tab EC	40701	y	yes_approved
0407010B0AAAFAF	Aspirin-P42 300mg tablet	40701	y	yes_approved
1003020AABCAAAA	Axsain  Cream  0.075 %	100302	n	
10030251	Axsain 0.075% cream (Teva UK Ltd)	100302	n	
1003020AABCAAAA	AXSAIN CREAM 0.075%	100302	n	
1003020AABCAAAA	Axsain CREAM 0.075%	100302	n	
1001010B0AAAAAA	Azapropazone CAPS 300MG	100101	y	yes_approved
1001010B0AAAAAA	AZAPROPAZONE CAPSULES 300MG	100101	y	yes_approved
1001010B0AAABAB	AZAPROPAZONE TABLETS 600MG	100101	y	yes_approved
1001010B0AAABAB	Azapropazone TABS 600MG	100101	y	yes_approved
1003020N0BDAAAK	Balmosa  Cream	100302	n	
1003020N0BDAAAK	Balmosa CREAM	100302	n	
1003020N0BDAAAK	BALMOSA CREAM	100302	n	
4070100	Balmosa cream (Galen Consumer Ltd)	40701	n	
4070100	Balmosa cream (Selsdon Healthcare Ltd)	40701	n	
100101	BENORILATE SF SUSP 2G/5ML	100101	y	yes_approved
100101	BENORILATE TABLETS 750MG	100101	y	yes_approved
100101	Benorilate TABS 750MG	100101	y	yes_approved
100101	BENORYLATE-P42 750mg tablet	100101	y	yes_approved
10030250	Benzydamine 3% cream	100302	n	
1003020F0AAAAAA	Benzydamine Hydrochloride  Cream  3 %	100302	n	
1003020F0AAAAAA	Benzydamine Hydrochloride CREAM 3%	100302	n	
1003020F0AAAAAA	BENZYDAMINE HYDROCHLORIDE CREAM 3%	100302	n	
100101	Bextra  Tablet  10 mg	100101	y	yes_approved
100101	Bextra  Tablet  20 mg	100101	y	yes_approved
100101	Bextra  Tablet  40 mg	100101	y	yes_approved
100101	BEXTRA TABLETS 10 MG	100101	y	yes_approved
100101	BEXTRA TABLETS 20MG	100101	y	yes_approved
40801	Brivaracetam  Tablets  25 mg	40801	n	
40801	Brivaracetam  Tablets  50 mg	40801	n	
1001010J0BCABAE	Brufen  Tablets  400 mg	100101	y	yes_approved
1001010J0BCACAF	Brufen  Tablets  600 mg	100101	y	yes_approved
10010100	Brufen 400mg tablets (Abbott Laboratories Ltd)	100101	y	yes_approved
1001010J0BCAFAP	Brufen Retard  M/R Tablets  800 mg	100101	y	yes_approved
1001010J0BCAFAP	Brufen Retard  M/R tablets  800 mg	100101	y	yes_approved
10010100	Brufen Retard 800mg tablets (Abbott Laboratories Ltd)	100101	y	yes_approved
10010100	Brufen Retard 800mg tablets (BGP Products Ltd)	100101	y	yes_approved
1001010J0BCAFAP	BRUFEN RETARD TABLETS 800MG	100101	y	yes_approved
1001010J0BCAFAP	Brufen Retard TABS 800MG	100101	y	yes_approved
1001010J0BCAAAD	BRUFEN TABLETS 200MG	100101	y	yes_approved
1001010J0BCABAE	BRUFEN TABLETS 400MG	100101	y	yes_approved
1001010J0BCACAF	BRUFEN TABLETS 600MG	100101	y	yes_approved
1001010J0BCABAE	Brufen TABS 400MG	100101	y	yes_approved
1001010J0BCACAF	Brufen TABS 600MG	100101	y	yes_approved
1001010J0BCABAE	Brufen-P42 400mg tablet	100101	y	yes_approved
1001010J0BCACAF	Brufen-P42 600mg tablet	100101	y	yes_approved
40702	Buprenorphine  Transdermal patches  10 micrograms/hour	40702	y	yes_approved
40702	Buprenorphine  Transdermal patches  15 micrograms/hour	40702	y	yes_approved
40702	Buprenorphine  Transdermal patches  20 micrograms/hour	40702	y	yes_approved
40702	Buprenorphine  Transdermal patches  20 micrograms/hour (20 mg per patch)	40702	y	yes_approved
40702	Buprenorphine  Transdermal patches  35 micrograms/hour	40702	y	yes_approved
40702	Buprenorphine  Transdermal patches  35 micrograms/hour (20 mg per patch)	40702	y	yes_approved
40702	Buprenorphine  Transdermal patches  5 micrograms/hour	40702	y	yes_approved
40702	Buprenorphine  Transdermal patches  5 micrograms/hour (5 mg per patch)	40702	y	yes_approved
40702	Buprenorphine  Transdermal patches  52.5 micrograms/hour	40702	y	yes_approved
40702	Buprenorphine  Transdermal patches  70 micrograms/hour	40702	y	yes_approved
40702	Buprenorphine  Transdermal patches  70 micrograms/hour (40 mg per patch)	40702	y	yes_approved
40702	BUPRENORPHINE 10 MICROGRAMS/HOUR PATCH	40702	y	yes_approved
40702	Buprenorphine 10 Micrograms/Hour PATCH	40702	y	yes_approved
4070200	Buprenorphine 10micrograms/hour transdermal patches	40702	y	yes_approved
40702	BUPRENORPHINE 20 MICROGRAMS / HOUR PATCH	40702	y	yes_approved
40702	Buprenorphine 20 Micrograms / Hour PATCH	40702	y	yes_approved
4070200	Buprenorphine 200microgram sublingual tablets sugar free	40702	y	yes_approved
4070200	Buprenorphine 20micrograms/hour transdermal patches	40702	y	yes_approved
40702	BUPRENORPHINE 35 MICROGRAMS/HOUR PATCH	40702	y	yes_approved
40702	Buprenorphine 35 Micrograms/Hour PATCH	40702	y	yes_approved
4070200	Buprenorphine 35micrograms/hour transdermal patches	40702	y	yes_approved
40702	Buprenorphine 5 Micrograms / Hour PATCH	40702	y	yes_approved
40702	BUPRENORPHINE 5 MICROGRAMS / HOUR PATCH	40702	y	yes_approved
40702	BUPRENORPHINE 52.5 MICROGRAMS/HOUR PATCH	40702	y	yes_approved
4070200	Buprenorphine 5micrograms/hour transdermal patches	40702	y	yes_approved
40702	BUPRENORPHINE 70 MICROGRAMS/HOUR PATCH	40702	y	yes_approved
40702	Buprenorphine 70 Micrograms/Hour PATCH	40702	y	yes_approved
4070200	Buprenorphine 70micrograms/hour transdermal patches	40702	y	yes_approved
0407020B0AAABAB	BUPRENORPHINE SF SUBLINGUAL TABLETS 200MICROGRAMS	40702	y	yes_approved
0407020B0AAABAB	Buprenorphine Sf Sublingual TABS 200MICROGRAMS	40702	y	yes_approved
40702	Butrans  Transdermal patches  10 micrograms/hour	40702	y	yes_approved
40702	Butrans  Transdermal patches  20 micrograms/hour	40702	y	yes_approved
40702	Butrans  Transdermal patches  5 micrograms/hour	40702	y	yes_approved
4070200	BuTrans 10micrograms/hour transdermal patches (Napp Pharm...	40702	y	yes_approved
4070200	BuTrans 15micrograms/hour transdermal patches (Napp Pharm...	40702	y	yes_approved
40702	Butrans 20 Micrograms / Hour PATCH	40702	y	yes_approved
4070200	BuTrans 20micrograms/hour transdermal patches (Napp Pharm...	40702	y	yes_approved
40702	Butrans 5 Micrograms / Hour PATCH	40702	y	yes_approved
4070200	BuTrans 5micrograms/hour transdermal patches (Napp Pharma...	40702	y	yes_approved
0407041F0BFAAAH	Cafergot  Suppositories	40704	n	
0407041F0BFABAI	Cafergot  Tablets	40704	n	
0407041F0BFABAI	CAFERGOT TABLETS 1MG	40704	n	
0407041F0BFABAI	Cafergot TABLETS 1MG	40704	n	
100302	Capsaicin  Cream  0.025 %	100302	n	
100302	Capsaicin  Cream  0.075 %	100302	n	
10030251	Capsaicin 0.025% cream	100302	n	
10030251	Capsaicin 0.075% cream	100302	n	
100302	CAPSAICIN CREAM 0.025%	100302	n	
100302	Capsaicin CREAM 0.025%	100302	n	
100302	CAPSAICIN CREAM 0.075%	100302	n	
100302	Capsaicin CREAM 0.075%	100302	n	
1003020H0AAAAAA	CAPSICUM OINT	100302	n	
40801	Carbagen  Tablets  100 mg	40801	y	
40801	Carbagen  Tablets  200 mg	40801	y	
40801	Carbagen  Tablets  400 mg	40801	y	
4080100	Carbagen 100mg tablets (Generics (UK) Ltd)	40801	y	
40801	Carbagen Sr  M/R tablets  200 mg	40801	y	
40801	Carbagen Sr  M/R tablets  400 mg	40801	y	
4080100	Carbagen SR 200mg tablets (Generics (UK) Ltd)	40801	y	
0408010C0AAACAC	Carbamazepine  C/R Tablets  200 mg	40801	y	
0408010C0AAACAC	Carbamazepine  C/r tablets  200 mg	40801	y	
0408010C0AAADAD	Carbamazepine  C/R Tablets  400 mg	40801	y	
0408010C0AAADAD	Carbamazepine  C/r tablets  400 mg	40801	y	
40801	Carbamazepine  M/R tablets  200 mg	40801	y	
0408010C0AAABAB	Carbamazepine  Tablets  100 mg	40801	y	
0408010C0AAACAC	Carbamazepine  Tablets  200 mg	40801	y	
0408010C0AAADAD	Carbamazepine  Tablets  400 mg	40801	y	
4080100	Carbamazepine 100mg tablets	40801	y	
4070300	Carbamazepine 100mg tablets	40703	y	
4080100	Carbamazepine 100mg tablets (A A H Pharmaceuticals Ltd)	40801	y	
4080100	Carbamazepine 100mg/5ml oral suspension sugar free	40801	y	
4070300	Carbamazepine 100mg/5ml oral suspension sugar free	40703	y	
4070300	Carbamazepine 200mg modified-release tablets	40703	y	
4080100	Carbamazepine 200mg tablets	40801	y	
4070300	Carbamazepine 200mg tablets	40703	y	
4080100	Carbamazepine 400mg tablets	40801	y	
0408010C0AAAJAJ	CARBAMAZEPINE CHEWABLE TABLETS 100MG	40801	y	
0408010C0AAAKAK	CARBAMAZEPINE CHEWABLE TABLETS 200MG	40801	y	
40801	CARBAMAZEPINE MR TABLETS 200MG	40801	y	
40801	Carbamazepine Mr TABS 200MG	40801	y	
40801	Carbamazepine Mr TABS 400MG	40801	y	
40801	CARBAMAZEPINE RETARD 200MG TAB	40801	y	
0408010C0AAACAC	CARBAMAZEPINE RETARD TABLETS 200-P42 0	40801	y	
0408010C0AAABAB	CARBAMAZEPINE TABLETS 100MG	40801	y	
0408010C0AAABAB	Carbamazepine TABLETS 100MG	40801	y	
0408010C0AAACAC	CARBAMAZEPINE TABLETS 200MG	40801	y	
0408010C0AAADAD	CARBAMAZEPINE TABLETS 400MG	40801	y	
0408010C0AAABAB	CARBAMAZEPINE tablets TAB 100mg-P42 0	40801	y	
0408010C0AAABAB	Carbamazepine TABS 100MG	40801	y	
0408010C0AAACAC	Carbamazepine TABS 200MG	40801	y	
4070300	CARBAMAZEPINE tabs 200mg	40703	y	
0408010C0AAADAD	Carbamazepine TABS 400MG	40801	y	
0408010C0AAABAB	Carbamazepine-P42 100mg tablet	40801	y	
100101	Celebrex  Capsules  100 mg	100101	y	yes_approved
100101	Celebrex  Capsules  200 mg	100101	y	yes_approved
100101	CELEBREX 100MG	100101	y	yes_approved
100101	CELEBREX 100mg	100101	y	yes_approved
100101	CELEBREX 100MG CAP	100101	y	yes_approved
100101	CELEBREX 100MG CAPS	100101	y	yes_approved
100101	CELEBREX 100MG CAPSULE	100101	y	yes_approved
10010100	Celebrex 100mg capsules (Pfizer Ltd)	100101	y	yes_approved
100101	CELEBREX 200 MG CAP	100101	y	yes_approved
100101	CELEBREX 200MG	100101	y	yes_approved
100101	Celebrex 200mg	100101	y	yes_approved
100101	CELEBREX 200mg	100101	y	yes_approved
100101	celebrex 200mg	100101	y	yes_approved
100101	CELEBREX 200MG CAPS	100101	y	yes_approved
100101	Celebrex 200mg capsules	100101	y	yes_approved
10010100	Celebrex 200mg capsules (Pfizer Ltd)	100101	y	yes_approved
100101	Celebrex CAPS 200MG	100101	y	yes_approved
100101	CELEBREX CAPSULES 100MG	100101	y	yes_approved
100101	CELEBREX CAPSULES 200MG	100101	y	yes_approved
100101	Celecoxib  Capsules  100 mg	100101	y	yes_approved
100101	Celecoxib  Capsules  200 mg	100101	y	yes_approved
100101	CELECOXIB 100 MG	100101	y	yes_approved
100101	Celecoxib 100mg cap	100101	y	yes_approved
100101	CELECOXIB 100mg CAP	100101	y	yes_approved
100101	Celecoxib 100mg caps	100101	y	yes_approved
100101	CELECOXIB 100MG CAPS-P42 0	100101	y	yes_approved
100101	CELECOXIB 100MG CAPSULE	100101	y	yes_approved
10010100	Celecoxib 100mg capsules	100101	y	yes_approved
100101	CELECOXIB 100MG CAPSULES	100101	y	yes_approved
100101	Celecoxib 200 mg capsule	100101	y	yes_approved
100101	CELECOXIB 200 MGS	100101	y	yes_approved
100101	Celecoxib 200mg cap	100101	y	yes_approved
100101	celecoxib 200mg cap	100101	y	yes_approved
100101	Celecoxib 200mg caps	100101	y	yes_approved
100101	CELECOXIB 200MG CAPS	100101	y	yes_approved
10010100	Celecoxib 200mg capsules	100101	y	yes_approved
100101	CELECOXIB 200MG CAPSULES	100101	y	yes_approved
100101	CELECOXIB 200MG CELECOXIB 200MG CAP	100101	y	yes_approved
100101	Celecoxib CAPS 100MG	100101	y	yes_approved
100101	Celecoxib CAPS 200MG	100101	y	yes_approved
100101	CELECOXIB CAPSULES 100 MGM	100101	y	yes_approved
100101	CELECOXIB CAPSULES 100MG	100101	y	yes_approved
100101	Celecoxib CAPSULES 100MG	100101	y	yes_approved
100101	Celecoxib CAPSULES 200MG	100101	y	yes_approved
100101	CELECOXIB CAPSULES 200MG	100101	y	yes_approved
100101	CELECOXIB CAPSULES 200MGM	100101	y	yes_approved
100101	CELECOXIB TABLETS 200 MG	100101	y	yes_approved
4080100	Clobazam 10mg tablets	40801	n	
040801060AABTBT	Clobazam Sls  Tablets  10 mg	40801	n	
040801060AABTBT	CLOBAZAM SLS TABLETS 10MG	40801	n	
4030100	Clomipramine 10mg capsules	40301	n	
4030100	Clomipramine 25mg capsules	40301	n	
4030100	Clomipramine 50mg capsules	40301	n	
4030100	Clomipramine 75mg modified-release tablets	40301	n	
4030100	CLOMIPRAMINE caps 25mg	40301	n	
0403010F0AAAAAA	Clomipramine Hydrochloride  Capsules  10 mg	40301	n	
0403010F0AAABAB	Clomipramine Hydrochloride  Capsules  25 mg	40301	n	
0403010F0AAACAC	Clomipramine Hydrochloride  Capsules  50 mg	40301	n	
0403010F0AAAGAG	Clomipramine Hydrochloride  M/R tablets  75 mg	40301	n	
0403010F0AAAAAA	Clomipramine Hydrochloride CAPS 10MG	40301	n	
0403010F0AAABAB	Clomipramine Hydrochloride CAPS 25MG	40301	n	
0403010F0AAACAC	Clomipramine Hydrochloride CAPS 50MG	40301	n	
0403010F0AAAAAA	CLOMIPRAMINE HYDROCHLORIDE CAPSULES 10MG	40301	n	
0403010F0AAABAB	CLOMIPRAMINE HYDROCHLORIDE CAPSULES 25MG	40301	n	
0403010F0AAACAC	CLOMIPRAMINE HYDROCHLORIDE CAPSULES 50MG	40301	n	
0408010F0AAACAC	Clonazepam  Tablets  2 mg	40801	n	
0408010F0AAABAB	Clonazepam  Tablets  500 micrograms	40801	n	
4080100	Clonazepam 2mg tablets	40801	n	
4080100	Clonazepam 500microgram tablets	40801	n	
4080100	Clonazepam 500micrograms/5ml oral solution sugar free	40801	n	
0408010F0AAABAB	CLONAZEPAM TABLETS 0.5MG	40801	n	
0408010F0AAABAB	CLONAZEPAM TABLETS 500 MICROGRAMS	40801	n	
0408010F0AAABAB	CLONAZEPAM TABLETS 500MICROGRAMS	40801	n	
0408010F0AAACAC	Clonazepam TABS 2MG	40801	n	
0408010F0AAABAB	Clonazepam TABS 500MICROGRAMS	40801	n	
0407042F0AAAAAA	CLONIDINE HCL-P42 0.025mg tabs	40704	y	
0407042F0AAAAAA	Clonidine Hydrochloride  Tablets  25 micrograms	40704	y	
0407042F0AAAAAA	CLONIDINE HYDROCHLORIDE TABLETS 25MICROGRAMS	40704	y	
0407042F0AAAAAA	Clonidine Hydrochloride TABLETS 25MICROGRAMS	40704	y	
0407042F0AAAAAA	Clonidine Hydrochloride TABS 25MICROGRAMS	40704	y	
0407042F0AAAAAA	CLONIDINE TABLETS 25MICROGRAMS	40704	y	
0407010N0AAAAAA	CO DYDRAMOL TAB	40701	y	yes_approved
0407010F0AAAAAA	CO-C0DAMOL TABLETS	40701	y	yes_approved
4070200	CO-CODAMOL (codeine & paracetamol) caps 30mg + 500mg	40702	y	yes_approved
4070200	CO-CODAMOL (codeine & paracetamol) caps 8mg+500mg	40702	y	yes_approved
4070100	CO-CODAMOL (codeine & paracetamol) tabs 30mg + 500mg	40701	y	yes_approved
4070200	CO-CODAMOL (codeine & paracetamol) tabs 8mg+500mg	40702	y	yes_approved
40701	Co-Codamol 12.8/500  Tablets	40701	y	yes_approved
40701	CO-CODAMOL 12.8MG/500MG TABLETS	40701	y	yes_approved
4070100	Co-codamol 12.8mg/500mg tablets	40701	y	yes_approved
40701	Co-Codamol 12.8mg/500mg TABS	40701	y	yes_approved
40701	Co-Codamol 15/500  Capsules	40701	y	yes_approved
40701	Co-Codamol 15/500  Effervescent Tablets Sugar Free	40701	y	yes_approved
40701	Co-Codamol 15/500  Tablets	40701	y	yes_approved
40701	CO-CODAMOL 15MG/500MG CAPLET TABLETS	40701	y	yes_approved
40701	Co-Codamol 15mg/500mg Caplet TABS	40701	y	yes_approved
4070100	Co-codamol 15mg/500mg capsules	40701	y	yes_approved
4070100	Co-codamol 15mg/500mg effervescent tablets sugar free	40701	y	yes_approved
4070200	Co-codamol 15mg/500mg effervescent tablets sugar free	40702	y	yes_approved
4070100	Co-codamol 15mg/500mg tablets	40701	y	yes_approved
4070200	Co-codamol 15mg/500mg tablets	40702	y	yes_approved
40701	Co-Codamol 15mg/500mg TABS	40701	y	yes_approved
0407010F0AAAHAH	Co-Codamol 30/500  Caplets	40701	y	yes_approved
0407010F0AAADAD	Co-Codamol 30/500  Capsules	40701	y	yes_approved
0407010F0AAAFAF	Co-Codamol 30/500  Effervescent tablets	40701	y	yes_approved
0407010F0AAAFAF	Co-Codamol 30/500  Effervescent Tablets	40701	y	yes_approved
0407010F0AAAHAH	Co-Codamol 30/500  Tablets	40701	y	yes_approved
0407010F0AAAHAH	CO-CODAMOL 30/500 TABLETS 500MG PARACETAMOL-P42 0	40701	y	yes_approved
0407010F0AAAHAH	CO-CODAMOL 30/500 TABS	40701	y	yes_approved
0407010F0AAAHAH	CO-CODAMOL 30/500 tabs 500mg paracetamol-P42 0	40701	y	yes_approved
0407010F0AAAFAF	CO-CODAMOL 30/500 tabs effervescent 530mg-P42 0	40701	y	yes_approved
0407010F0AAAHAH	CO-CODAMOL 30/500MG 1	40701	y	yes_approved
0407010F0AAADAD	CO-CODAMOL 30/500MG CAPS	40701	y	yes_approved
