drug_name	status	ptr_approved
Buprenorphine 2mg sublingual tablets sugar free	y	yes_approved
Buprenorphine 2mg sublingual tablets sugar free (A A H Pharmaceuticals Ltd)	y	yes_approved
Buprenorphine 35micrograms/hour transdermal patches	y	yes_approved
Buprenorphine 400microgram sublingual tablets sugar free	y	yes_approved
Buprenorphine 400microgram sublingual tablets sugar free (A A H Pharmaceuticals Ltd)	y	yes_approved
Buprenorphine 400microgram sublingual tablets sugar free (Actavis UK Ltd)	y	yes_approved
Buprenorphine 400microgram sublingual tablets sugar free (Arrow Generics Ltd)	y	yes_approved
Buprenorphine 400microgram sublingual tablets sugar free (Teva UK Ltd)	y	yes_approved
Buprenorphine 52.5micrograms/hour transdermal patches	y	yes_approved
Buprenorphine 5micrograms/hour transdermal patches	y	yes_approved
Buprenorphine 70micrograms/hour transdermal patches	y	yes_approved
Buprenorphine 8mg / Naloxone 2mg sublingual tablets sugar free	y	yes_approved
Buprenorphine 8mg sublingual tablets sugar free	y	yes_approved
Buprenorphine 8mg sublingual tablets sugar free (Actavis UK Ltd)	y	yes_approved
Butec 10micrograms/hour transdermal patches (Qdem Pharmaceuticals Ltd)	y	yes_approved
Butec 20micrograms/hour transdermal patches (Qdem Pharmaceuticals Ltd)	y	yes_approved
Butec 5micrograms/hour transdermal patches (Qdem Pharmaceuticals Ltd)	y	yes_approved
CALPOL PAEDIATRIC suspension 120mg/5ml [PFIZER]	y	yes_approved
CARBAMAZEPINE SR tablets 200mg [IVAX]	y	
CARBAMAZEPINE tablets 100mg [IVAX]	y	
CARBAMAZEPINE tablets 200mg [IVAX]	y	
CARE IBUPROFEN tablets 200mg [T & R]	y	yes_approved
CARE IBUPROFEN tablets 400mg [T & R]	y	yes_approved
CLOMIPRAMINE capsules 50mg [SANDOZ]	n	
CLOTAM capsules 200mg [THAMES]	y	yes_approved
CO-CODAMOL dispersible tablet 8mg+500mg [RHONE]	y	yes_approved
CO-CODAMOL tablets 8mg+500mg [NUCARE]	y	yes_approved
CO-DYDRAMOL suspension 10mg + 500mg/5ml [ROSEMONT]	y	yes_approved
CO-DYDRAMOL tablets 10mg+500mg [BERK]	y	yes_approved
CO-DYDRAMOL tablets 10mg+500mg [CELLTECH]	y	yes_approved
CO-DYDRAMOL tablets 10mg+500mg [DF]	y	yes_approved
CO-DYDRAMOL tablets 10mg+500mg [M&A PHARM]	y	yes_approved
CO-PROXAMOL tablets (DISTA) 32.5/325 [DISTA]	y	yes_approved
CO-PROXAMOL tablets 32.5/325 [BERK]	y	yes_approved
CO-PROXAMOL tablets 32.5/325 [CP PHARM]	y	yes_approved
CO-PROXAMOL tablets 32.5/325 [DISTA]	y	yes_approved
CO-PROXAMOL tablets 32.5mg + 325mg [M&A PHARM]	y	yes_approved
CODEINE linctus [CO-OPERATI]	n	
CONCORDIN 10 tablets [M S D]	n	
CONDROTEC tablets 500mg+200mcg [PHARMACIA]	y	yes_approved
Cafergot suppositories (Alliance Pharmaceuticals Ltd)	n	
Cafergot tablets (Alliance Pharmaceuticals Ltd)	n	
Calpol Paediatric 120mg/5ml oral suspension sugar free (McNeil Products Ltd)	y	yes_approved
Caprin 300mg gastro-resistant tablets (Pinewood Healthcare)	y	yes_approved
Capsaicin 0.025% cream	n	
Capsaicin 0.075% cream	n	
Capsicum 2.466% ointment	n	
Carbagen 200mg tablets (Mylan Ltd)	y	
Carbagen SR 400mg tablets (Mylan Ltd)	y	
Carbamazepine 100mg chewable tablets sugar free	y	
Carbamazepine 100mg tablets (A A H Pharmaceuticals Ltd)	y	
Carbamazepine 100mg tablets (Actavis UK Ltd)	y	
Carbamazepine 100mg/5ml oral suspension sugar free (Actavis UK Ltd)	y	
Carbamazepine 200mg chewable tablets sugar free	y	
Carbamazepine 200mg modified-release tablets	y	
Carbamazepine 200mg modified-release tablets (A A H Pharmaceuticals Ltd)	y	
Carbamazepine 200mg tablets	y	
Carbamazepine 200mg tablets (Actavis UK Ltd)	y	
Carbamazepine 200mg tablets (Mylan Ltd)	y	
Carbamazepine 250mg suppositories	y	
Carbamazepine 400mg tablets	y	
Celebrex 100mg capsules (Pfizer Ltd)	y	yes_approved
Celebrex 200mg capsules (Pfizer Ltd)	y	yes_approved
Celecoxib 100mg capsules	y	yes_approved
Celecoxib 100mg capsules (Actavis UK Ltd)	y	yes_approved
Celecoxib 200mg capsules	y	yes_approved
Clinoril 200mg tablets (Merck Sharp & Dohme Ltd)	y	yes_approved
Clobazam 10mg tablets	n	
Clobazam 10mg tablets (Teva UK Ltd)	n	
Clobazam 10mg/5ml oral suspension sugar free	n	
Clobazam 5mg/5ml oral solution	n	
Clomipramine 10mg capsules	n	
Clomipramine 25mg capsules	n	
Clomipramine 25mg capsules (Actavis UK Ltd)	n	
Clomipramine 25mg capsules (Almus Pharmaceuticals Ltd)	n	
Clomipramine 25mg/5ml oral solution	n	
Clomipramine 50mg capsules	n	
Clomipramine 75mg modified-release tablets	n	
Clonazepam 2.5mg/ml drops	n	
Clonazepam 250micrograms/5ml oral solution	n	
Clonazepam 2mg tablets	n	
Clonazepam 2mg tablets (A A H Pharmaceuticals Ltd)	n	
Clonazepam 2mg tablets (Alliance Healthcare (Distribution) Ltd)	n	
Clonazepam 2mg/5ml oral solution sugar free	n	
Clonazepam 500microgram tablets	n	
Clonazepam 500microgram tablets (A A H Pharmaceuticals Ltd)	n	
Clonazepam 500microgram tablets (Alliance Healthcare (Distribution) Ltd)	n	
Clonazepam 500microgram tablets (Almus Pharmaceuticals Ltd)	n	
Clonazepam 500micrograms/5ml oral solution sugar free	n	
Clonazepam 500micrograms/5ml oral solution sugar free (Rosemont Pharmaceuticals Ltd)	n	
Clonazepam 500micrograms/5ml oral suspension	n	
Clotam Rapid 200mg tablets (Galen Ltd)	y	yes_approved
Co-codamol 12.8mg/500mg tablets	y	yes_approved
Co-codamol 15mg/500mg capsules	y	yes_approved
Co-codamol 15mg/500mg effervescent tablets sugar free	y	yes_approved
Co-codamol 15mg/500mg tablets	y	yes_approved
Co-codamol 15mg/500mg tablets (A A H Pharmaceuticals Ltd)	y	yes_approved
Co-codamol 30mg/500mg caplets (Actavis UK Ltd)	y	yes_approved
Co-codamol 30mg/500mg caplets (Wockhardt UK Ltd)	y	yes_approved
Co-codamol 30mg/500mg capsules	y	yes_approved
Co-codamol 30mg/500mg capsules (A A H Pharmaceuticals Ltd)	y	yes_approved
Co-codamol 30mg/500mg capsules (AMCo)	y	yes_approved
Co-codamol 30mg/500mg capsules (Actavis UK Ltd)	y	yes_approved
Co-codamol 30mg/500mg capsules (Teva UK Ltd)	y	yes_approved
Co-codamol 30mg/500mg capsules (Zentiva)	y	yes_approved
Co-codamol 30mg/500mg effervescent powder sachets sugar free	y	yes_approved
Co-codamol 30mg/500mg effervescent tablets	y	yes_approved
Co-codamol 30mg/500mg effervescent tablets (A A H Pharmaceuticals Ltd)	y	yes_approved
Co-codamol 30mg/500mg effervescent tablets (Actavis UK Ltd)	y	yes_approved
Co-codamol 30mg/500mg effervescent tablets (Almus Pharmaceuticals Ltd)	y	yes_approved
Co-codamol 30mg/500mg effervescent tablets (Fannin UK Ltd)	y	yes_approved
Co-codamol 30mg/500mg effervescent tablets (Mylan Ltd)	y	yes_approved
Co-codamol 30mg/500mg effervescent tablets (Teva UK Ltd)	y	yes_approved
Co-codamol 30mg/500mg effervescent tablets (Zentiva)	y	yes_approved
Co-codamol 30mg/500mg tablets	y	yes_approved
Co-codamol 30mg/500mg tablets (A A H Pharmaceuticals Ltd)	y	yes_approved
Co-codamol 30mg/500mg tablets (Actavis UK Ltd)	y	yes_approved
Co-codamol 30mg/500mg tablets (Almus Pharmaceuticals Ltd)	y	yes_approved
Co-codamol 30mg/500mg tablets (IVAX Pharmaceuticals UK Ltd)	y	yes_approved
Co-codamol 30mg/500mg tablets (Sandoz Ltd)	y	yes_approved
Co-codamol 30mg/500mg tablets (Teva UK Ltd)	y	yes_approved
Co-codamol 30mg/500mg tablets (Wockhardt UK Ltd)	y	yes_approved
Co-codamol 30mg/500mg tablets (Zentiva)	y	yes_approved
Co-codamol 8mg/500mg caplets (Actavis UK Ltd)	y	yes_approved
Co-codamol 8mg/500mg caplets (Vantage)	y	yes_approved
Co-codamol 8mg/500mg capsules	y	yes_approved
Co-codamol 8mg/500mg effervescent tablets	y	yes_approved
Co-codamol 8mg/500mg effervescent tablets (A A H Pharmaceuticals Ltd)	y	yes_approved
Co-codamol 8mg/500mg effervescent tablets (Actavis UK Ltd)	y	yes_approved
Co-codamol 8mg/500mg effervescent tablets (Almus Pharmaceuticals Ltd)	y	yes_approved
Co-codamol 8mg/500mg effervescent tablets (Bayer Plc)	y	yes_approved
Co-codamol 8mg/500mg effervescent tablets (Fannin UK Ltd)	y	yes_approved
Co-codamol 8mg/500mg effervescent tablets (Sandoz Ltd)	y	yes_approved
Co-codamol 8mg/500mg effervescent tablets (Teva UK Ltd)	y	yes_approved
Co-codamol 8mg/500mg effervescent tablets (Zentiva)	y	yes_approved
Co-codamol 8mg/500mg tablets	y	yes_approved
Co-codamol 8mg/500mg tablets (A A H Pharmaceuticals Ltd)	y	yes_approved
Co-codamol 8mg/500mg tablets (Actavis UK Ltd)	y	yes_approved
Co-codamol 8mg/500mg tablets (Almus Pharmaceuticals Ltd)	y	yes_approved
Co-codamol 8mg/500mg tablets (Aspar Pharmaceuticals Ltd)	y	yes_approved
Co-codamol 8mg/500mg tablets (Kent Pharmaceuticals Ltd)	y	yes_approved
Co-codamol 8mg/500mg tablets (Teva UK Ltd)	y	yes_approved
Co-codamol 8mg/500mg tablets (Tillomed Laboratories Ltd)	y	yes_approved
Co-codamol 8mg/500mg tablets (Vantage)	y	yes_approved
Co-codamol 8mg/500mg tablets (Wockhardt UK Ltd)	y	yes_approved
Co-codamol 8mg/500mg tablets (Zentiva)	y	yes_approved
Co-codaprin 8mg/400mg dispersible tablets	y	yes_approved
Co-codaprin 8mg/400mg dispersible tablets (Actavis UK Ltd)	y	yes_approved
Co-dydramol 10mg/500mg tablets	y	yes_approved
Co-dydramol 10mg/500mg tablets (A A H Pharmaceuticals Ltd)	y	yes_approved
Co-dydramol 10mg/500mg tablets (Actavis UK Ltd)	y	yes_approved
Co-dydramol 10mg/500mg tablets (Almus Pharmaceuticals Ltd)	y	yes_approved
Co-dydramol 10mg/500mg tablets (Ranbaxy (UK) Ltd)	y	yes_approved
Co-dydramol 10mg/500mg tablets (Teva UK Ltd)	y	yes_approved
Co-dydramol 10mg/500mg tablets (Wockhardt UK Ltd)	y	yes_approved
Co-dydramol 10mg/500mg tablets (Zentiva)	y	yes_approved
Co-dydramol 10mg/500mg/5ml oral suspension	y	yes_approved
Co-proxamol 32.5mg/325mg tablets	y	yes_approved
Co-proxamol 32.5mg/325mg tablets (A A H Pharmaceuticals Ltd)	y	yes_approved
Co-proxamol 32.5mg/325mg tablets (Meda Pharmaceuticals Ltd)	y	yes_approved
Co-proxamol 32.5mg/325mg tablets (Sigma Pharmaceuticals Plc)	y	yes_approved
Co-proxamol 32.5mg/325mg tablets (Zentiva)	y	yes_approved
Codafen Continus tablets (Napp Pharmaceuticals Ltd)	y	
Codeine 15mg tablets	y	yes_approved
Codeine 15mg/5ml linctus	n	
Codeine 15mg/5ml linctus (Thornton & Ross Ltd)	n	
Codeine 15mg/5ml linctus sugar free (Pinewood Healthcare)	n	
Codeine 25mg/5ml oral solution (Thornton & Ross Ltd)	y	yes_approved
Codeine 30mg tablets (A A H Pharmaceuticals Ltd)	y	yes_approved
Codeine 30mg tablets (Kent Pharmaceuticals Ltd)	y	yes_approved
Codeine 3mg/5ml linctus paediatric sugar free	n	
Codeine 60mg tablets (Sandoz Ltd)	y	yes_approved
Codipar 15mg/500mg capsules (AMCo)	y	yes_approved
Codipar 15mg/500mg tablets (AMCo)	y	yes_approved
Corgard 80mg tablets (Sanofi)	n	
Cuprofen 200mg tablets (SSL International Plc)	y	yes_approved
Cuprofen 5% gel (SSL International Plc)	n	
Cuprofen Maximum Strength 400mg tablets (SSL International Plc)	y	yes_approved
Cuprofen PLUS tablets (SSL International Plc)	y	yes_approved
DEEP RELIEF IBUPROFEN gel 5% [MENTHOLA]	n	
DF 118 Forte 40mg tablets (Martindale Pharmaceuticals Ltd)	y	yes_approved
DF118 forte tablets 40mg [MARTINDALE]	y	yes_approved
DF118 tablets 30mg [MARTINDALE]	y	yes_approved
DHC Continus 120mg tablets (Napp Pharmaceuticals Ltd)	y	yes_approved
DHC Continus 60mg tablets (Napp Pharmaceuticals Ltd)	y	yes_approved
DHC Continus 90mg tablets (Napp Pharmaceuticals Ltd)	y	yes_approved
DIAZEPAM tablets 2mg [CROSS-PHAR]	n	
DICLOFENAC enteric coated tablets 25mg [ALMUS]	y	yes_approved
DICLOFENAC modified release capsules 100mg [SANDOZ]	y	yes_approved
DICLOFENAC modified release tablet 100mg [ACTAVIS]	y	yes_approved
DICLOFENAC modified release tablet 75mg [GALEN]	y	yes_approved
DICLOFLEX enteric coated tablets 50mg [RATIOPHARM]	y	yes_approved
DIHYDROCODEINE tablets 30mg [BERK]	y	yes_approved
DISPROL PAEDIATRIC suspension sugar-free 120mg/5ml [RECKITT B]	y	yes_approved
DYSMAN capsules 250mg [ASHBOURNE]	y	yes_approved
Day & Night Nurse capsules (GlaxoSmithKline Consumer Healthcare)	n	
Deep Freeze Cold Gel 2% (The Mentholatum Company Ltd)	n	
Deep Freeze spray (The Mentholatum Company Ltd)	n	
Deep Heat Maximum Strength cream (The Mentholatum Company Ltd)	n	
Deep Heat spray (The Mentholatum Company Ltd)	n	
Deep Relief gel (The Mentholatum Company Ltd)	n	
Depakote 250mg gastro-resistant tablets (Sanofi)	n	
Depakote 500mg gastro-resistant tablets (Sanofi)	n	
Depefex XL 150mg capsules (Chiesi Ltd)	y	
Depefex XL 75mg capsules (Chiesi Ltd)	y	
Dermacool 0.5% cream (Pern Consumer Products Ltd)	n	
Dermacool 1% cream (Pern Consumer Products Ltd)	n	
Dermacool 2% cream (Pern Consumer Products Ltd)	n	
Deseril 1mg tablets (Alliance Pharmaceuticals Ltd)	n	
Dexibuprofen 300mg tablets	y	yes_approved
Dexibuprofen 400mg tablets	y	yes_approved
Dexketoprofen 25mg tablets	y	yes_approved
Dextromoramide 10mg tablets	y	yes_approved
Dextromoramide 5mg tablets	y	yes_approved
Dextropropoxyphene 60mg capsules	y	yes_approved
Diamorphine 100mg powder for solution for injection ampoules	y	yes_approved
Diamorphine 100mg powder for solution for injection vials (Teva UK Ltd)	y	yes_approved
Diamorphine 10mg powder for solution for injection ampoules	y	yes_approved
Diamorphine 10mg powder for solution for injection ampoules (A A H Pharmaceuticals Ltd)	y	yes_approved
Diamorphine 10mg powder for solution for injection ampoules (ViroPharma Ltd)	y	yes_approved
Diamorphine 10mg powder for solution for injection ampoules (Wockhardt UK Ltd)	y	yes_approved
Diamorphine 10mg powder for solution for injection vials (Teva UK Ltd)	y	yes_approved
Diamorphine 10mg tablets	y	yes_approved
Diamorphine 30mg powder for solution for injection ampoules	y	yes_approved
Diamorphine 30mg powder for solution for injection ampoules (A A H Pharmaceuticals Ltd)	y	yes_approved
Diamorphine 30mg powder for solution for injection ampoules (ViroPharma Ltd)	y	yes_approved
Diamorphine 30mg powder for solution for injection ampoules (Wockhardt UK Ltd)	y	yes_approved
Diamorphine 30mg powder for solution for injection vials (Teva UK Ltd)	y	yes_approved
Diamorphine 5mg powder for solution for injection ampoules	y	yes_approved
Diamorphine 5mg powder for solution for injection ampoules (A A H Pharmaceuticals Ltd)	y	yes_approved
Diamorphine 5mg powder for solution for injection ampoules (ViroPharma Ltd)	y	yes_approved
Diamorphine 5mg powder for solution for injection ampoules (Wockhardt UK Ltd)	y	yes_approved
Diamorphine 5mg powder for solution for injection vials (Teva UK Ltd)	y	yes_approved
Diazepam 10mg/5ml oral suspension	n	
Diazepam 2.5mg/1.25ml rectal solution tube	n	
Diazepam 2mg tablets (Teva UK Ltd)	n	
Diazepam 2mg/5ml oral solution (Sandoz Ltd)	n	
Diazepam 5mg tablets (Actavis UK Ltd)	n	
Diazepam 5mg tablets (Almus Pharmaceuticals Ltd)	n	
Diazepam 5mg tablets (Teva UK Ltd)	n	
Diazepam 5mg/5ml oral solution	n	
Diclofenac 1% transdermal patches	n	
Diclofenac 1.16% gel	n	
Diclofenac 100mg suppositories	y	yes_approved
Diclofenac 100mg suppositories (A A H Pharmaceuticals Ltd)	y	yes_approved
Diclofenac 10mg dispersible tablets	y	yes_approved
Diclofenac 12.5mg suppositories	y	yes_approved
Diclofenac 16mg/ml topical solution	n	
Diclofenac 2.32% gel	n	
Diclofenac 4% cutaneous spray	n	
Diclofenac 50mg dispersible tablets sugar free	y	yes_approved
Diclofenac 50mg suppositories	y	yes_approved
Diclofenac 75mg/2ml solution for injection vials	y	yes_approved
Diclofenac potassium 50mg tablets (Actavis UK Ltd)	y	yes_approved
Diclofenac sodium 100mg modified-release capsules (A A H Pharmaceuticals Ltd)	y	yes_approved
Diclofenac sodium 100mg modified-release tablets	y	yes_approved
Diclofenac sodium 25mg gastro-resistant tablets (Sandoz Ltd)	y	yes_approved
Diclofenac sodium 25mg gastro-resistant tablets (Teva UK Ltd)	y	yes_approved
Diclofenac sodium 50mg gastro-resistant / Misoprostol 200microgram tablets	y	yes_approved
Diclofenac sodium 50mg gastro-resistant tablets	y	yes_approved
Diclofenac sodium 50mg gastro-resistant tablets (A A H Pharmaceuticals Ltd)	y	yes_approved
Diclofenac sodium 50mg gastro-resistant tablets (Sandoz Ltd)	y	yes_approved
Diclofenac sodium 50mg gastro-resistant tablets (Teva UK Ltd)	y	yes_approved
Diclofenac sodium 75mg gastro-resistant / Misoprostol 200microgram tablets	y	yes_approved
Diclofenac sodium 75mg gastro-resistant modified-release capsules	y	yes_approved
Diclofenac sodium 75mg modified-release capsules	y	yes_approved
Diclofenac sodium 75mg modified-release capsules (A A H Pharmaceuticals Ltd)	y	yes_approved
Diclofenac sodium 75mg modified-release capsules (Actavis UK Ltd)	y	yes_approved
Dicloflex 50mg gastro-resistant tablets (Almus Pharmaceuticals Ltd)	y	yes_approved
Dicloflex 75mg SR tablets (Dexcel-Pharma Ltd)	y	yes_approved
Diclomax SR 75mg capsules (Galen Ltd)	y	yes_approved
Diethylamine salicylate 10% cream	n	
Difflam 3% cream (Meda Pharmaceuticals Ltd)	n	
Difflam-P 3% cream (Meda Pharmaceuticals Ltd)	n	
Diflunisal 250mg tablets	y	yes_approved
Diflunisal 500mg tablets	y	yes_approved
Dihydrocodeine 10mg/5ml oral solution	y	yes_approved
Dihydrocodeine 10mg/5ml oral solution (Martindale Pharmaceuticals Ltd)	y	yes_approved
Dihydrocodeine 120mg modified-release tablets	y	yes_approved
Dihydrocodeine 30mg tablets	y	yes_approved
Dihydrocodeine 30mg tablets (A A H Pharmaceuticals Ltd)	y	yes_approved
Dihydrocodeine 30mg tablets (Actavis UK Ltd)	y	yes_approved
Dihydrocodeine 30mg tablets (Almus Pharmaceuticals Ltd)	y	yes_approved
Dihydrocodeine 30mg tablets (Mylan Ltd)	y	yes_approved
Dihydrocodeine 30mg tablets (Teva UK Ltd)	y	yes_approved
Dihydrocodeine 30mg tablets (Wockhardt UK Ltd)	y	yes_approved
Dihydrocodeine 30mg tablets (Zentiva)	y	yes_approved
Dihydrocodeine 40mg tablets	y	yes_approved
Dihydrocodeine 50mg/1ml solution for injection ampoules	y	yes_approved
Dihydrocodeine 60mg modified-release tablets	y	yes_approved
Dihydrocodeine 90mg modified-release tablets	y	yes_approved
Distalgesic 32.5mg/325mg tablets (Meda Pharmaceuticals Ltd)	y	yes_approved
Dolobid 250mg tablets (Merck Sharp & Dohme Ltd)	y	yes_approved
Dolobid 500mg tablets (Merck Sharp & Dohme Ltd)	y	yes_approved
Dosulepin 25mg capsules	n	
